Month,Year,Patient_Spend,Patient_Visits
9,2016,3007.8841883388086,22557
9,2022,3757.11717206725,23021
9,2017,1477.559102821708,21721
3,2016,4462.872218054416,22576
4,2021,2421.774414147546,21794
3,2022,1049.1003274812606,21105
12,2021,1915.680530880413,22367
1,2022,1942.0456605202428,21276
9,2023,1694.5879792719234,21959
9,2019,3323.8842543518126,22816
4,2016,4047.1808076921743,22540
9,2023,4182.418434547643,23238
11,2017,4486.125443286148,23567
3,2015,1685.1625953365765,21336
9,2018,2061.0787539229473,22031
5,2017,4611.756248253932,22946
4,2017,2936.698101749741,22087
1,2021,2484.762871637722,21549
5,2016,4372.951699871834,22816
4,2020,1260.8174611458783,21213
12,2018,4351.042718135915,23617
7,2022,4354.3164778049195,23138
10,2015,2004.788894369562,22155
12,2023,2569.794961700593,22752
9,2015,1325.7892515296644,21641
1,2021,2692.711037170442,21638
9,2016,3171.798984517687,22714
6,2015,1664.8717905027204,21581
10,2018,1981.1853596632018,22131
1,2020,2395.101114049552,21467
10,2020,3343.7218559586063,22934
7,2017,1001.4565462297451,21377
6,2016,4839.556162425086,23121
4,2022,4155.922317076499,22775
2,2017,4663.595288154078,22694
9,2016,1707.9767675719145,21898
1,2019,3851.2946630195565,22141
5,2018,4352.853972888218,22876
12,2022,1565.6060390502455,22185
12,2017,4008.778061244825,23442
10,2020,3417.7164693523955,23062
7,2023,2727.1379078602467,22345
6,2022,2013.4670968341836,21934
8,2023,2227.4066084582023,22108
9,2018,2096.8493865882037,22087
9,2018,4427.317189359577,23383
10,2021,2242.1398280721096,22377
3,2018,2325.21768332984,21747
9,2023,1782.4157130050255,22011
7,2016,2481.3946692077852,22120
12,2018,2954.7971877841856,22839
7,2018,1355.796934475749,21566
10,2021,2938.673983653657,22678
2,2019,3469.1724533553893,22162
7,2018,2389.834068582354,22080
9,2019,3054.706543954346,22540
9,2017,3963.4177259077837,23130
4,2017,2159.3941172194172,21639
3,2017,3629.6576922378613,22295
4,2019,3092.30984416299,22106
11,2020,4017.935319876219,23344
7,2017,1779.268116780945,21755
4,2022,4662.437768588456,22949
7,2022,1313.729516762836,21645
6,2021,4385.982432592096,22982
8,2022,3775.924132278824,22878
12,2019,3195.0424162602626,22934
1,2018,2785.3745661447274,21626
12,2015,2043.413601488261,22367
9,2017,1140.9977841439995,21616
5,2021,1098.1808456199205,21235
11,2017,4862.2587665933725,23711
7,2016,2988.0226310158514,22335
12,2022,4443.992791160257,23613
6,2018,2590.9119021438555,22069
9,2023,4791.48424293616,23459
3,2015,3295.9640379479274,22025
12,2019,2848.5034557699464,22762
4,2018,1158.9082121231909,21124
10,2017,1608.6284440105314,21920
8,2020,3374.605004013854,22739
6,2017,2026.0608827411058,21786
4,2017,1083.7491966013597,21091
5,2016,3721.05322999488,22469
6,2015,1632.8381611505615,21563
4,2015,3092.04491294105,22117
4,2020,2915.506140212435,22070
8,2017,1529.8452768741697,21691
10,2020,3172.524696221715,22703
10,2016,3759.5163244564837,23031
10,2022,4036.9768674555544,23146
8,2022,4196.871713568786,23063
4,2017,1131.7492814036498,21174
11,2023,2151.028697279048,22499
3,2023,4271.38665559708,22697
4,2018,1323.020331258991,21297
10,2017,2187.2247231551687,22214
11,2021,4269.863497569506,23355
12,2020,1794.8661178635823,22256
8,2018,3895.9349670609586,22905
8,2022,2378.4069338314366,22170
6,2015,1445.2597761731352,21488
2,2016,2825.30027752095,21832
3,2018,2478.9809906222295,21771
3,2017,4970.5400845407,22921
9,2015,2256.2540175970157,22141
2,2015,1052.4162703046884,20840
6,2020,3969.1408664187666,22826
9,2019,3180.329447938998,22625
5,2023,1657.4523040108202,21518
1,2020,4503.287475861591,22520
12,2023,2966.7756626040896,23001
3,2015,1344.154462719242,21120
6,2022,1316.8883702828978,21511
6,2021,1894.2081507816529,21748
1,2017,1408.4288621666628,21024
9,2022,1930.4420080932168,22101
2,2020,2913.5720551832246,21893
2,2018,3222.1724430573677,22006
1,2020,1010.0389512173318,20873
4,2017,4912.865297487024,22978
9,2019,3074.7079730192213,22645
12,2015,2775.102607203657,22786
9,2022,1897.0333831309451,22097
5,2015,3597.293300905942,22497
5,2018,4133.101962772898,22740
1,2020,3143.5345419706287,21786
10,2016,2006.834088189103,22153
4,2022,2585.631049864206,21906
8,2015,1998.56709523395,21938
4,2019,2597.5276320416447,21959
3,2023,1055.2123990744126,21104
2,2018,3623.290999770777,22186
2,2018,3154.0361717976025,21965
3,2022,2377.11086610868,21715
2,2023,4713.046170283871,22834
5,2020,3659.923764531357,22590
3,2019,1042.61550462902,21001
6,2019,4581.562647710258,23048
6,2020,1948.319647916193,21815
6,2019,4951.73025900946,23228
3,2017,3327.3563084590187,22124
12,2018,2267.15375431149,22579
6,2022,1887.9000735098632,21721
8,2018,4331.0767688319775,23194
8,2018,4174.603522608981,23052
12,2016,1329.972518909139,22035
7,2022,1566.208207892129,21760
2,2021,2483.437087633234,21632
7,2016,4086.3542809219043,22853
8,2023,2940.819572464537,22545
3,2018,2896.4428072748924,21919
12,2021,3104.198091520676,22962
4,2023,1003.7995952883842,21192
2,2017,2637.5973577137293,21657
10,2019,1513.2658803731215,22010
6,2017,4463.843330934549,23010
10,2021,2863.7350774798233,22659
10,2023,2499.961623400623,22490
3,2019,2601.82064074946,21816
1,2017,3373.6496595043964,21986
12,2022,4571.473275718481,23706
10,2015,2997.701058044735,22616
12,2019,3562.054523172055,23182
2,2019,4287.0483559424865,22662
10,2017,1370.6762810139307,21833
11,2021,1922.145123021958,22288
1,2019,4693.334652978427,22581
7,2023,1497.5784593997842,21660
1,2015,2216.3428170740985,21350
11,2019,1733.1698271369792,22203
5,2016,1293.4200233475908,21281
9,2021,4124.657547855668,23176
5,2022,1022.4769198609778,21202
4,2021,3853.930352102078,22562
4,2019,2279.9729778011083,21750
9,2016,1370.8187168959496,21716
9,2019,4009.9156959752936,23007
12,2023,2692.6246913880277,22832
12,2020,3363.2370889290555,23138
8,2017,2745.0840928583,22282
1,2015,1035.8041546581394,20784
4,2021,3788.8553162112257,22523
9,2021,3518.6206220033537,22813
8,2017,1024.0944770302126,21416
8,2017,4148.998503474904,23058
11,2021,1502.732658372918,22150
2,2016,4024.651397460567,22434
9,2022,1941.2938606542696,22056
5,2020,2335.626822270681,21969
8,2023,1784.2190809823965,21884
1,2023,1787.1062765029935,21237
12,2018,4715.852291168119,23688
5,2019,2127.871873513091,21755
10,2022,2552.7796287800365,22437
1,2019,3884.413705838011,22255
11,2020,1840.725419166407,22254
7,2017,4768.99617436998,23234
5,2021,4807.396961741473,23102
3,2023,3992.8670996016263,22448
5,2020,2267.466227920997,21811
7,2021,1967.1088019701153,21915
4,2020,1815.9427070404445,21562
11,2018,3674.328938643765,23129
4,2019,3907.345452660406,22550
8,2020,2750.3643406121664,22351
9,2017,4141.199032450217,23176
6,2022,2275.26847620873,21985
1,2021,4784.761358378657,22687
9,2017,4673.184598345312,23351
6,2018,4713.635628976683,23107
12,2023,1925.9572093779284,22353
5,2023,4882.930117878828,23100
8,2018,4010.612300768701,22970
11,2015,1798.2514038837994,22095
11,2023,1064.1746430662545,21826
5,2021,3427.8264478074507,22444
2,2022,1783.127632538934,21330
12,2019,3542.0894244967817,23181
4,2015,2645.4656265701606,21869
4,2016,4496.856074627099,22908
10,2021,2071.2387979218656,22331
3,2017,1462.322407931699,21145
6,2019,4208.88636425959,22859
3,2019,4059.678678026616,22503
4,2015,2250.43249241585,21696
6,2017,3455.6354350592414,22557
11,2015,2616.721864234675,22525
12,2018,3456.5765257890807,23184
8,2020,1458.9196495297338,21859
3,2021,3936.750849399036,22390
8,2019,2143.7120786424557,22044
2,2022,4274.931917218617,22535
7,2020,2979.003061560915,22439
11,2021,3643.5502288075104,23114
6,2022,3958.6725724518005,22845
1,2022,4098.306126682756,22249
12,2019,4707.810248320031,23825
1,2015,3742.7719990966452,22156
11,2019,3016.9468357771234,22770
4,2022,4633.6790903906685,22933
11,2021,2335.7363746054807,22417
2,2018,4812.926824298344,22730
11,2022,1552.9494305719056,22149
10,2018,3156.3234775997416,22704
10,2023,4540.080037217458,23472
7,2018,3274.6662791090644,22533
7,2019,1833.8706726463836,21756
8,2023,3364.5466911132567,22772
9,2023,2798.5397470369317,22583
9,2016,3000.526916097514,22521
8,2017,4706.314690861319,23380
1,2020,2044.2029540676976,21331
9,2020,1450.3892288223153,21847
7,2023,1069.6058441860007,21432
9,2022,3434.9764891046125,22837
10,2020,4999.704942595543,23687
9,2020,3153.705140781883,22704
4,2021,1373.8092086819252,21234
7,2021,1327.6010034494875,21639
2,2016,2315.087708874922,21477
8,2023,1986.018276656359,22097
5,2022,2939.7408335420805,22172
10,2020,2298.282058177152,22377
3,2020,2566.020065834805,21767
1,2020,2426.559368391168,21487
9,2016,1334.3035678079875,21769
3,2017,1189.2711083923477,21125
8,2017,1786.2781159336519,21840
9,2023,4370.305043583386,23243
5,2015,2508.4508535968716,21908
5,2016,1148.7363872857422,21293
2,2017,3798.343907477984,22270
8,2016,1165.8507150669388,21466
7,2020,4081.085635091891,22858
10,2022,4153.519115131938,23219
5,2016,1389.0515053867825,21322
2,2020,3784.881078951725,22195
6,2017,2718.267016994095,22171
10,2023,3236.360665578505,22918
8,2022,1552.609815054046,21895
12,2021,4520.786437131842,23722
2,2019,4165.228685879698,22556
4,2015,3577.6156186149183,22459
6,2021,1946.466769428635,21788
8,2016,2585.727399221491,22180
4,2020,4788.777571600351,22987
7,2018,2080.5497745490075,22037
7,2018,4179.600755356738,23027
8,2016,3149.4042395215447,22572
10,2019,1374.9800277953586,21835
2,2017,4658.837889148049,22667
10,2021,4790.0908382627185,23658
7,2020,3333.5190145543284,22627
1,2020,4154.3963954292985,22436
4,2017,2879.4268372595084,21993
9,2015,2797.589644549298,22438
5,2021,1347.2018533210592,21445
2,2021,2160.0558445356246,21487
5,2019,2244.888707073331,21805
6,2016,1896.4647266275554,21673
1,2015,1805.829120107878,21253
4,2020,4512.054614013906,22876
11,2016,4585.460397879429,23553
2,2022,3372.5880148235874,22149
5,2018,3973.2596921913423,22692
5,2018,1708.560659076802,21559
5,2019,2720.8765697345675,21985
1,2020,3228.7145264078436,21956
1,2018,3922.409647624527,22277
11,2023,4327.330713001762,23554
9,2016,1447.7670449238017,21738
12,2023,4469.1503585672845,23700
12,2021,3347.5700914197555,23081
5,2016,1210.2849380952168,21283
7,2018,1260.860687175739,21552
10,2015,1108.2286345678858,21713
12,2018,3272.7083378607317,23072
4,2021,2582.1205533644397,21872
4,2019,4608.274444992916,22916
3,2023,4944.447721025657,22973
2,2022,4723.2215530520225,22713
11,2015,1054.788109622637,21751
3,2020,1636.6345507102346,21284
2,2017,4600.6694833244,22717
12,2021,4922.64629915259,23849
4,2020,2449.918417827781,21820
5,2021,1839.40544029197,21572
11,2016,2691.4639592404237,22581
2,2019,4296.969276945682,22500
2,2020,4513.669900095427,22680
1,2021,1421.3925383628837,21036
8,2023,1817.8789359081152,21885
9,2018,2677.7171327768206,22531
11,2016,2217.585330604801,22315
5,2015,1838.8278568879728,21544
4,2016,1651.545897831289,21415
6,2016,1825.3195220496018,21661
7,2021,2095.2627744038664,21907
4,2021,1104.51240403468,20995
3,2022,4480.837449614219,22758
10,2020,4567.675736243333,23419
9,2018,4728.140520768934,23485
2,2016,1471.4165241571138,21109
5,2016,1540.7276073917333,21392
11,2015,3647.38980526648,23080
1,2023,2182.9345584467037,21392
9,2018,2876.3923663225287,22562
4,2016,4774.766319026172,22934
10,2020,1139.9939317293413,21774
6,2015,4006.8803829006774,22687
6,2017,3843.6475787562613,22773
2,2016,2468.7193993487135,21457
8,2019,4880.557096046783,23520
9,2019,4900.469775447686,23599
7,2016,1826.4900612023753,21810
5,2015,4685.659177186564,22861
8,2015,1429.8519729713419,21702
4,2017,3908.5774990146,22429
6,2019,3493.4051726009943,22586
12,2023,4304.956459085378,23516
4,2016,2251.6738448167152,21704
7,2021,1321.842069064909,21566
5,2018,2026.4916443908635,21649
8,2017,4974.8899417844605,23348
4,2017,1496.6638062681268,21331
1,2023,3636.855367436309,22087
6,2022,2349.452045949188,22034
12,2021,1754.2204414508906,22205
12,2023,3620.512601478651,23284
10,2023,2748.0831201867422,22599
4,2023,4132.11303639289,22668
8,2021,2691.476017524614,22302
6,2015,3680.8801327331425,22607
6,2021,2208.2814494731138,21963
9,2023,4367.3118634592865,23367
12,2016,3926.6324107934674,23418
1,2017,3129.301272592105,21822
9,2020,4406.417374650511,23355
4,2016,3808.3425867156843,22532
7,2016,1850.0549884845898,21726
10,2023,2744.5905468740693,22640
11,2020,2959.609561513578,22847
4,2023,1303.2194495164244,21218
3,2023,3400.3947403242114,22199
12,2016,3891.4325232411206,23319
8,2022,2671.2902163767567,22388
1,2020,2727.2446265831954,21640
4,2021,2329.4598052633505,21728
11,2023,2093.907360007741,22439
1,2023,1488.7061566923135,21106
4,2022,4541.202763631681,22833
7,2020,2543.2730816357466,22254
2,2017,1083.3010181105408,20915
12,2019,2983.4398938142926,22776
10,2023,2180.9177788821808,22397
3,2023,1299.3091079483686,21056
10,2017,3748.798906111193,22933
5,2023,3670.389288589886,22616
10,2020,4643.836467172931,23521
12,2021,1256.5115830296886,22005
2,2015,2271.559669531315,21426
4,2020,4290.764846296477,22735
3,2021,4730.823343255106,22860
5,2020,4583.03595100579,23013
10,2019,1492.584926364136,21963
8,2021,3125.6900944929516,22577
5,2016,1976.7121278172133,21628
10,2015,4756.366575751852,23525
5,2023,4205.672258779432,22813
2,2020,1507.5933394339777,21141
3,2015,4690.286367228589,22866
8,2017,3376.1932134677363,22660
3,2021,2332.4075282461263,21683
4,2018,3942.6332513627813,22605
10,2023,4653.285512398501,23590
11,2023,1078.0842327556636,21891
8,2020,3642.1735720388824,22790
11,2019,2428.3699345697114,22594
7,2016,1375.5987191618174,21498
7,2019,3592.400431001854,22566
3,2022,4331.198273798078,22604
11,2016,4457.414043430508,23497
4,2022,2442.255181894254,21793
7,2023,2568.8611185339732,22254
1,2021,1209.4880686796553,20868
11,2022,2784.8768493323837,22751
9,2020,1827.2219583367291,21954
1,2017,2597.1500475649,21602
11,2021,1166.576239801786,21903
12,2022,2244.2418119322565,22571
8,2016,4136.99726378096,23033
7,2023,1197.001959251419,21578
6,2019,3018.484096721639,22270
10,2015,3995.0304521430867,23053
7,2018,2828.5707802108145,22236
6,2023,4884.9037197943,23225
12,2020,4233.4064886609585,23530
3,2023,4316.057970548505,22655
8,2015,3649.323027085982,22732
2,2023,3014.646687158108,21958
10,2018,4874.546405217782,23541
3,2020,1498.4389842963913,21263
3,2022,1304.0669469406384,21015
6,2017,2464.0745717465797,21942
12,2021,1601.4481383358655,22169
7,2017,3434.518499781319,22618
5,2023,1457.762298191489,21411
3,2018,1377.7691541887496,21157
3,2015,4218.982786121305,22485
2,2021,2562.1417011635604,21726
1,2019,1554.3885145624472,21023
10,2020,3100.79215940235,22772
1,2022,3091.284796696679,21888
3,2023,4918.244447133305,22971
9,2018,1074.3796185021831,21597
4,2021,3701.805019804938,22394
11,2023,2071.9404651924315,22336
1,2021,2379.95921475091,21545
11,2019,4919.901275872756,23719
12,2019,2235.6092652694615,22457
9,2019,2330.440404831251,22279
9,2018,4858.44798286359,23521
2,2019,3481.0542770799357,22128
1,2019,4579.785807211599,22559
6,2022,4910.6952017795775,23332
9,2018,1287.507316329151,21705
3,2017,1063.355224167318,21023
4,2022,4548.840989988756,22929
6,2021,1219.175350199174,21374
12,2019,2819.0177463429545,22809
4,2017,4757.442750685908,22880
9,2023,4091.553044698126,23132
7,2023,2510.3092006741063,22254
5,2021,3456.408731496258,22415
7,2023,2831.708705201773,22388
4,2023,4404.579530715924,22845
7,2017,3498.9928311499325,22568
3,2023,1558.2837647629467,21283
7,2017,3346.9402179226454,22512
6,2019,2239.008569068542,21938
12,2017,1665.5807183420586,22235
6,2017,1679.248916284926,21620
10,2023,4820.086389848077,23693
5,2016,3804.6828244183057,22581
7,2021,3802.5189722310324,22889
6,2015,3347.7061122037962,22446
12,2015,1852.1451775648918,22328
2,2015,1737.3179634490202,21337
4,2017,3791.733539401048,22445
4,2018,1888.2375799606455,21502
11,2018,2161.7206135933575,22430
9,2018,2562.9169636772804,22332
10,2015,1672.1713538002882,21923
6,2019,1918.609285788617,21875
6,2017,1164.1066543794382,21422
7,2018,1498.7387323257667,21639
1,2023,4699.7111987111375,22606
10,2021,1800.8304806651313,22076
8,2019,2374.9721063109637,22199
6,2022,4311.586580316165,23003
2,2018,1748.2724246888179,21299
6,2019,4504.498149642126,23080
7,2021,1168.819714920634,21527
11,2023,3118.5378225696445,22882
11,2017,1779.8048304725144,22163
12,2015,2482.6134621918104,22537
7,2016,1289.3039592470243,21601
9,2021,1640.615904079295,21870
8,2017,1279.4365978716091,21599
6,2017,2458.455496216025,22045
12,2023,2560.838195213196,22726
11,2015,3046.4342533471313,22812
4,2020,2677.042237320831,21917
11,2017,4697.472566348612,23603
3,2017,3365.577604618525,22223
10,2022,3713.5678666517783,23105
12,2022,2329.644629776506,22573
10,2020,2226.57437812229,22270
4,2022,2496.2805547889475,21822
3,2017,2525.211240779657,21747
6,2019,1246.9668999596802,21410
11,2016,3249.6438330685737,22920
5,2021,3313.0670072873772,22305
2,2016,4206.635729738468,22468
6,2021,4184.569954648626,22800
9,2022,3701.543952067597,22960
4,2022,3687.5709455316774,22465
6,2022,3865.881648326441,22739
9,2019,1475.1189664380045,21869
5,2023,2621.4161675873083,21963
11,2018,2859.56309444703,22696
2,2018,4062.9446221712537,22449
8,2020,1696.5820235387694,21884
9,2020,3668.7106495065445,22963
2,2021,2637.577310903175,21755
3,2021,2510.578305814096,21744
2,2021,3808.593167092879,22273
2,2023,1873.864818493455,21374
8,2020,4667.1024845557295,23318
6,2017,3110.905261431166,22314
12,2015,1777.5117593054804,22277
1,2023,3247.777814989465,21991
5,2019,2428.083836727917,21814
2,2016,3478.836628176401,22178
2,2017,3438.716026750162,22096
7,2017,3357.5749380056322,22622
7,2021,2591.8717379663767,22221
1,2015,1600.4257855337664,21086
3,2021,3814.04802419384,22416
4,2018,3187.7126468821552,22243
8,2017,4849.556071981749,23355
10,2021,4630.340508564015,23616
3,2021,2580.196937878626,21793
12,2023,2164.7103627630313,22478
5,2020,2158.922759962083,21828
10,2022,3699.7430335399163,23131
1,2019,3803.3246578215458,22222
7,2022,4797.427122491684,23257
10,2022,3131.1344149305,22811
3,2016,3491.6091221019756,22206
5,2023,2583.341617227582,22089
8,2019,2831.12299729995,22461
4,2023,2747.6486011991406,21943
1,2016,3502.8587723907153,22001
6,2016,2401.9427276589586,21956
5,2020,4466.08585687386,22966
1,2022,2146.849807995935,21460
3,2017,4741.394102164248,22829
4,2017,2692.730993574851,21906
2,2021,2692.8268115967785,21687
8,2023,3538.704939244566,22912
11,2017,4037.387645252848,23324
2,2019,1156.5712899754503,20954
4,2020,2051.974522006808,21632
11,2016,4638.429795948667,23573
5,2023,1687.299087152187,21587
11,2017,4551.407559891795,23609
2,2023,4665.5457630268675,22806
8,2017,3681.8620481907465,22708
5,2020,4235.608521886483,22841
1,2021,1660.744433248637,21077
11,2020,1667.4809586083063,22210
3,2018,3783.3832990560963,22367
11,2021,2220.739655298336,22419
8,2021,2702.530175363939,22379
5,2022,2156.0608293949317,21814
1,2016,3618.4743340446125,21978
3,2017,1232.6521453153182,21064
7,2023,3749.3061624486963,22737
10,2021,4451.0513351886,23429
3,2023,4970.306585010963,23071
5,2017,3953.0586188570815,22640
10,2018,1884.671087486428,22120
10,2017,4089.275714508507,23239
6,2018,4083.1012605951337,22877
5,2023,3028.2057927764663,22250
11,2015,2207.0037812070395,22387
5,2018,4703.830422598484,23090
10,2021,3071.9451592752444,22719
11,2020,1599.1943333436352,22160
9,2023,3952.651783856989,23111
2,2017,4375.971989597871,22560
6,2015,4232.484196866077,22926
8,2022,4236.334001262043,23129
1,2020,2732.07348762871,21639
11,2021,3337.2338248222,23011
2,2022,2533.4169351404753,21726
11,2015,2960.579930081917,22672
4,2023,1368.0743904518322,21383
10,2015,1875.9361234288408,22218
3,2021,2378.393443091407,21691
9,2022,3760.723468979971,23006
3,2019,3898.6210279185416,22411
5,2020,1708.8368314599531,21661
9,2023,1437.337198071086,21797
3,2016,3641.2191687199334,22293
10,2016,2028.6217047542698,22120
9,2023,4230.275677454825,23207
8,2023,3060.9283155664175,22501
11,2019,2283.1373135297517,22515
12,2018,4229.483886195289,23517
9,2021,1416.071633454656,21858
3,2017,4669.252132153915,22855
4,2020,3930.7361981596678,22534
4,2022,3124.2043686775028,22221
7,2016,1012.4835935088332,21284
1,2016,1226.4079074128938,20887
11,2022,3090.626649818295,22894
4,2018,3991.7217370502854,22593
7,2019,4984.091160157377,23437
12,2022,4512.648819993629,23690
4,2018,1554.6843020554347,21297
10,2018,2060.2416033164964,22127
7,2018,2513.130187738542,22103
4,2017,3739.3461778882584,22412
3,2020,4918.950582833248,22982
3,2019,1945.314000560977,21426
3,2017,3665.645506561453,22372
7,2019,1701.9999532459153,21747
5,2015,1352.4285334080166,21343
12,2022,1960.09249407187,22364
7,2016,2887.499381754241,22334
1,2023,4517.28336921122,22559
5,2020,2913.951338356782,22126
10,2017,1038.29296248196,21664
3,2023,1076.3531527001567,21034
2,2020,3768.180493997922,22229
7,2020,2386.193898370354,22126
2,2020,1627.6156676617472,21217
8,2016,2680.753105436256,22286
6,2015,2959.1998462200663,22272
7,2019,1348.8054991012023,21555
2,2018,1258.9581965764846,21017
11,2019,3715.6779533928,23176
7,2018,2500.439536070416,22107
7,2023,1219.6393911174193,21456
7,2017,2651.377691838789,22172
7,2023,1945.1236636371693,21890
12,2021,1742.587019864407,22314
3,2022,3213.9959896678442,22156
6,2017,4369.225206955523,23027
3,2018,3880.1797484594176,22455
3,2021,2782.7022509076787,21934
4,2016,1142.8713155544813,21176
3,2016,2011.1442142172104,21505
10,2019,1600.9102064376207,22011
4,2022,3382.6363924222696,22272
9,2022,3463.6384227828503,22818
6,2020,3585.456501969721,22586
5,2015,4685.7584718375465,22959
6,2017,4739.125723794623,23177
12,2016,4213.67398896921,23548
2,2017,1675.7410134500149,21232
12,2018,2816.2517759322045,22791
6,2019,2170.9035790977196,21861
9,2021,1546.499237591679,21828
3,2023,1904.6566483290553,21589
10,2016,3095.287686727942,22716
10,2020,4230.439882793553,23336
6,2016,4438.075079618375,23052
7,2018,3978.378696930625,22809
5,2015,1828.836376344411,21603
1,2015,2786.821329596616,21659
9,2020,3348.0001961870194,22736
11,2019,1125.1430277177965,21909
6,2023,4986.079264702446,23352
6,2018,1890.0156475002743,21784
